complaint_id,complaint_officer_number,officer_days_on_force_at_incident,allegation_record_identity,fado_type,allegation,victim_age_range_at_incident,victim_gender,victim_race_legacy,investigator_recommendation,ccrb_allegation_disposition,tax_id,officer_rank_at_incident,officer_command_at_incident,victim_race_ethnicity,nypd_allegation_disposition,officer_years_on_force_at_incident
201107798,1,0,746391,Force,Pepper spray,44 < Age <= 49,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201704266,1,1850,990642,Abuse of Authority,Refusal to obtain medical treatment,20 < Age <= 24,Male/Man,White,Unsubstantiated,Unsubstantiated,950487.0,Police Officer,069 PCT,Unknown,Unknown,5.07
201907763,1,1879,1069637,Force,Physical force,0,Male/Man,Unknown,Alleged Victim Uncooperative,Alleged Victim Uncooperative,956407.0,Police Officer,071 PCT,Unknown,Unknown,5.15
202300750,2,4540,1242009,Abuse of Authority,Bias-Based Policing (Gender),54 < Age <= 59,Female/Woman,Unknown,Substantiated,Substantiated (Command Discipline A),949666.0,Sergeant,120 PCT,Unknown,No Disciplinary Action-DUP,12.44
200306184,1,0,329403,Force,Pepper spray,0,Unknown,Unknown,Complaint Withdrawn,Complaint Withdrawn,0,Unknown,Unknown,Unknown,Unknown,0.0
200600511,1,0,432070,Force,Gun Pointed,0,Male/Man,Unknown,Alleged Victim Uncooperative,Alleged Victim Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200008269,1,7235,256165,Abuse of Authority,Threat to damage/seize property,34 < Age <= 39,Female/Woman,Hispanic,Complaint Withdrawn,Complaint Withdrawn,874480.0,Sergeant,ND CH I,Unknown,Unknown,19.82
202100617,4,1147,1172309,Force,Nightstick as club (incl asp & baton),29 < Age <= 34,Male/Man,Hispanic,Unsubstantiated,Unsubstantiated,963771.0,Police Officer,070 PCT,Unknown,Unknown,3.14
201300518,1,0,820672,Force,Physical force,17 < Age <= 20,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201309725,1,0,850372,Discourtesy,Word,0,Female/Woman,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
202408833,3,2426,1291413,Abuse of Authority,Obstructed Shield Number,49 < Age <= 54,Female/Woman,Unknown,Unfounded,Unfounded,965286.0,Police Officer,101 RKWY BCH,Unknown,Unknown,6.65
202601443,1,1872,1346760,Force,Physical force,0,Unknown,Unknown,Complainant Unavailable,Complainant Unavailable,969913.0,Police Officer,052 PCT,Unknown,Unknown,5.13
200411564,2,4746,400872,Force,Physical force,14 < Age <= 17,Male/Man,Hispanic,Unfounded,Unfounded,899861.0,Police Officer,023 PCT,Unknown,Unknown,13.0
201200260,2,1992,783975,Discourtesy,Word,24 < Age <= 29,Male/Man,Black,Unsubstantiated,Unsubstantiated,942823.0,Police Officer,044 PCT,Unknown,Unknown,5.46
200100784,2,6044,276548,Abuse of Authority,Frisk and/or search,39 < Age <= 44,Male/Man,Black,Unsubstantiated,Unsubstantiated,883692.0,Sergeant,SATNOPS,Unknown,Unknown,16.56
201116035,3,2346,772140,Abuse of Authority,Refusal to provide name/shield number,34 < Age <= 39,Male/Man,Black,Unsubstantiated,Unsubstantiated,939268.0,Police Officer,109 PCT,Unknown,Unknown,6.43
201010155,2,7687,730811,Abuse of Authority,Stop,20 < Age <= 24,Male/Man,Black,Exonerated,Exonerated,895430.0,Lieutenant,070 PCT,Unknown,Unknown,21.06
201604036,2,0,953364,Force,Hit against inanimate object,0,Unknown,Unknown,Victim Unidentified,Victim Unidentified,0,Unknown,Unknown,Unknown,Unknown,0.0
201505360,1,809,925702,Abuse of Authority,Stop,0,Male/Man,Hispanic,Victim Unidentified,Victim Unidentified,953634.0,Police Officer,PBBN,Unknown,Unknown,2.22
201203553,1,0,777576,Force,Physical force,0,Unknown,Unknown,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200912440,2,0,654057,Discourtesy,Word,17 < Age <= 20,Female/Woman,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200901455,3,0,611186,Force,Physical force,20 < Age <= 24,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
202304926,2,3978,1241119,Abuse of Authority,Frisk,20 < Age <= 24,Male/Man,Unknown,Substantiated,Substantiated (Command Discipline A),953247.0,Detective,NARCBQS,White/Caucasian (R),Command Discipline - A,10.9
202312085,1,2358,1311770,Force,Other,14 < Age <= 17,Male/Man,Unknown,Substantiated,Within NYPD Guidelines,964256.0,Police Officer,042 PCT,Dominican (E),Unknown,6.46
